,lap1,lap2,lap3,lap4,lap5,lap6,lap7,lap8,lap9,lap10,lap11,lap12,lap13,lap14,lap15,lap16,lap17,lap18,lap19,lap20,lap21,lap22,lap23,lap24,lap25,lap26,lap27,lap28,lap29,lap30,lap31,lap32,lap33,lap34,lap35,lap36,lap37,lap38,lap39,lap40,lap41,lap42,lap43,lap44,lap45,lap46,lap47,lap48,lap49,lap50,lap51,lap52,lap53,lap54,lap55,lap56
VAN,18,16,14,14,14,14,14,13,12,14,14,15,16,16,16,16,16,16,16,15,15,15,15,15,15,14,14,14,13,13,12,12,12,12,12,14,16,16,16,16,16,15,15,15,14,14,13,13,13,13,13,13,13,13,13,13
RIC,5,7,6,6,6,6,6,5,2,2,2,3,3,3,3,3,3,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,5
VET,3,2,18,19,19,18,17,16,16,15,15,14,13,12,8,7,7,6,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2
RAI,4,4,3,3,3,3,3,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
GRO,7,6,5,5,5,5,5,4,13,12,12,12,12,9,9,11,10,10,10,10,10,10,10,10,10,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
ERI,12,9,8,8,8,8,8,7,4,4,4,4,4,5,5,5,5,4,3,3,3,3,3,4,4,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18
GAS,17,17,15,15,15,15,15,14,14,13,13,13,14,14,14,13,13,14,11,11,11,11,11,11,11,10,10,10,9,9,16,16,16,16,16,16,14,14,14,14,14,11,10,10,9,9,16,16,16,16,16,16,16,16,16,16
PER,14,19,17,17,17,17,18,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,16,16,16,16,16,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,16,16,15,15,15,15,15,15,15,15,15,15
ALO,15,14,12,12,12,12,12,11,9,9,9,9,9,8,11,10,9,9,9,9,9,9,9,9,9,9,9,9,15,15,14,14,14,14,14,12,11,11,11,11,10,10,9,9,10,10,9,9,9,9,9,9,9,9,9,9
LEC,8,5,4,4,4,4,4,3,11,11,11,11,10,10,10,8,8,7,6,6,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3
STR,20,18,16,16,16,16,16,15,15,16,16,16,15,15,15,15,14,13,12,12,12,12,12,12,12,13,13,13,12,12,11,11,11,11,11,10,10,10,10,10,11,16,16,16,15,15,14,14,14,14,14,14,14,14,14,14
MAG,13,11,10,10,10,10,10,9,7,7,7,8,8,11,12,12,12,12,13,13,13,13,13,13,14,12,12,12,11,11,10,10,10,10,10,9,9,9,9,9,9,9,13,13,12,12,11,11,11,11,11,11,11,11,11,11
HUL,10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
HAR,16,12,19,18,18,19,19,18,18,18,18,18,18,18,18,18,18,18,18,17,17,17,17,17,17,15,15,15,14,14,13,13,13,13,13,13,12,12,12,12,12,12,11,11,11,11,10,10,10,10,10,10,10,10,10,10
OCO,9,10,9,9,9,9,9,8,5,6,6,6,6,7,7,9,11,11,14,18,18,18,18,18,18,17,17,16,16,16,15,15,15,15,15,15,13,13,13,13,13,13,12,12,17,17,17,17,17,17,17,17,17,17,17,17
VER,6,8,7,7,7,7,7,6,3,3,3,2,2,2,2,2,2,1,8,8,8,8,8,8,8,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4
SIR,19,15,13,13,13,13,13,12,10,10,10,10,11,13,13,14,15,15,15,14,14,14,14,14,13,11,11,11,10,10,9,9,9,9,9,11,15,15,15,15,15,14,14,14,13,13,12,12,12,12,12,12,12,12,12,12
HAM,1,1,1,1,1,1,1,1,6,5,5,5,5,4,4,4,4,3,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SAI,11,13,11,11,11,11,11,10,8,8,8,7,7,6,6,6,6,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
BOT,2,3,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,8,7,7,7,7,7,7,7,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
